domain,total_citations,fa_citations,ga_citations,distinct_articles
newspapers.com,379991,4893,30355,88534
indiatimes.com,135134,795,4037,52325
billboard.com,134085,273,3391,36624
allmusic.com,131082,887,6654,75299
espncricinfo.com,114204,637,1024,26045
apple.com,98259,563,6587,35298
variety.com,94585,1083,6005,48406
telegraph.co.uk,94406,1378,5780,60292
animenewsnetwork.com,78787,232,5205,12533
baseball-reference.com,74496,440,5002,14103
espn.com,70126,372,3464,27472
twitter.com,65642,140,1482,35010
nhl.com,61919,437,3364,7131
zap2it.com,60215,63,1716,9563
abc.net.au,59612,517,1455,30071
sports-reference.com,57774,144,2518,38400
officialcharts.com,57570,451,3031,22352
soccerway.com,57399,53,633,30476
cbc.ca,56400,520,2035,27932
naver.com,55392,6,747,9835
cricketarchive.com,53073,678,1464,14691
blogspot.com,53029,111,925,41108
mlb.com,46980,360,4233,10111
chicagotribune.com,44649,622,2798,28363
pro-football-reference.com,42737,122,1865,12924
showbuzzdaily.com,41269,17,221,2897
nba.com,39698,111,1495,6197
bloomberg.com,38744,117,929,26700
pitchfork.com,37235,475,2728,21340
rsssf.org,36779,308,827,19119
gaonchart.co.kr,36307,43,916,4430
uefa.com,36186,305,1435,11737
mtv.com,35700,1076,7091,16001
researchgate.net,35518,552,1412,26241
biodiversitylibrary.org,34762,1016,1005,21855
stuff.co.nz,34171,55,458,14013
oricon.co.jp,34030,115,1485,11220
gbif.org,34025,5,19,33650
data.gouv.fr,33907,0,4,33888
irishtimes.com,33290,111,856,18110
natlib.govt.nz,32765,105,792,8089
britishnewspaperarchive.co.uk,32181,654,1781,8516
europa.eu,30773,112,453,15127
amazon.com,29951,177,1725,19715
boxofficemojo.com,29949,512,2537,12882
basketball-reference.com,29163,131,435,5090
huffingtonpost.com,28706,200,1377,21743
hindustantimes.com,28496,330,1068,16807
independent.ie,27940,90,616,13488
olympedia.org,27748,12,151,22580
