domain_url,suffix_url,total_citations,fa_citations,ga_citations,distinct_articles
google,com,1511660,15228,65803,559071
archive,org,546288,11349,28473,289571
nytimes,com,495111,6520,40695,227818
bbc,co.uk,466990,4784,24238,150983
nih,gov,411889,4151,11334,105458
newspapers,com,379991,4893,30355,88534
theguardian,com,268366,3130,13583,139439
youtube,com,239096,867,6995,119940
census,gov,238198,166,757,56914
nla,gov.au,156245,1263,1798,36652
indiatimes,com,135134,795,4037,52325
billboard,com,134085,273,3391,36624
allmusic,com,131082,887,6654,75299
washingtonpost,com,121121,1060,5345,68755
latimes,com,118282,1485,6551,73034
espncricinfo,com,114204,637,1024,26045
bbc,com,106331,708,3517,56565
apple,com,98259,563,6587,35298
cnn,com,96626,953,4376,54290
variety,com,94585,1083,6005,48406
telegraph,co.uk,94406,1378,5780,60292
deadline,com,88529,513,3933,30129
reuters,com,87834,375,2438,47273
go,com,86355,1096,6818,40555
independent,co.uk,81319,1009,4428,55185
imdb,com,79587,115,1053,47538
animenewsnetwork,com,78787,232,5205,12533
baseball-reference,com,74496,440,5002,14103
hollywoodreporter,com,71730,822,5062,36258
worldcat,org,71674,272,1173,39457
espn,com,70126,372,3464,27472
usatoday,com,69235,987,4546,43819
thehindu,com,68179,417,2592,34915
twitter,com,65642,140,1482,35010
ign,com,62806,2864,12136,25661
yahoo,com,62537,458,3348,45826
noaa,gov,61933,2367,9784,8683
nhl,com,61919,437,3364,7131
zap2it,com,60215,63,1716,9563
abc,net.au,59612,517,1455,30071
facebook,com,59493,69,731,33378
sports-reference,com,57774,144,2518,38400
officialcharts,com,57570,451,3031,22352
soccerway,com,57399,53,633,30476
doi,org,57337,196,1113,30901
discogs,com,56545,46,646,29784
cbc,ca,56400,520,2035,27932
naver,com,55392,6,747,9835
stat,gov.pl,53198,0,0,52689
cricketarchive,com,53073,678,1464,14691
