domain_url,suffix_url,total_citations,fa_citations,ga_citations,distinct_articles
google,com,480701,10644,37729,188190
bbc,co.uk,233156,3650,19049,78116
census,gov,182366,273,726,47358
nytimes,com,163440,3606,12461,90259
guardian,co.uk,53504,1092,4394,32146
go,com,53087,1101,5833,23020
stat,gov.pl,51824,0,12,51584
archive,org,46127,949,2605,25681
allmusic,com,41894,498,3390,22174
billboard,com,40654,729,5698,12405
latimes,com,40263,680,3480,26063
telegraph,co.uk,39538,837,3164,25586
youtube,com,38859,279,1740,22660
baseball-reference,com,38538,270,2295,4636
cnn,com,36788,888,2869,23197
washingtonpost,com,33136,636,2487,20368
usgs,gov,30762,598,958,26810
ign,com,30651,2187,7550,12111
google,co.uk,29757,409,2238,16688
imdb,com,28846,193,1067,18192
independent,co.uk,27754,525,2233,19830
nih,gov,25974,214,475,18390
yahoo,com,25764,338,2297,19081
theguardian,com,25522,604,1948,16429
state,pa.us,25386,369,312,3340
indiatimes,com,24961,540,1849,10574
usatoday,com,24444,774,2770,17665
reuters,com,22870,285,1281,15081
nla,gov.au,22496,502,962,8636
cricketarchive,com,22069,1101,1782,4092
noaa,gov,21781,2218,7601,5317
time,com,21006,712,2139,15588
mtv,com,20737,680,5474,7855
blogspot,com,20426,117,657,15594
amazon,com,20396,214,1593,12682
nasa,gov,19387,950,1139,8156
dailymail,co.uk,19031,274,1569,13151
apple,com,18070,268,2695,7318
variety,com,17681,482,2382,10744
abc,net.au,17628,433,600,10035
cbc,ca,17621,399,1254,9701
mlb,com,17072,341,2843,4153
smh,com.au,16975,285,690,9820
ew,com,16715,596,4023,11112
soccerbase,com,16438,147,1634,3256
zap2it,com,16261,47,1424,3273
metacritic,com,15502,556,1875,9141
discogs,com,15388,32,567,8401
google,ca,15215,201,1080,7979
espncricinfo,com,15213,627,661,2525
